trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10.1614042,11.1982638,11.1982638,11.2007592,11.507336,-5,up,0,0.7938726,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
1,0,1,0,12.0285511,13.025655,13.025655,13.0406218,13.3406852,0,up,1,0.4654193,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
2,0,2,0,13.5089297,14.5073719,14.5073719,14.5073719,14.807377,0,up,1,0.3265861,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
3,0,3,0,14.8588466,15.8572392,15.8572392,15.8572392,16.158621,1,up,0,0.277168,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
4,0,4,0,16.158621,17.156994,17.156994,17.156994,17.4574308,-3,up,0,0.3313082,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
5,0,5,0,17.5088217,18.5070778,18.5070778,18.5070778,18.8071326,0,up,1,0.4882139,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
6,0,6,0,19.0253636,20.0236622,20.0236622,20.0236622,20.3240293,-3,down,1,0.5002974,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
7,0,7,0,20.5417627,21.5403428,21.5403428,21.5403428,21.8402512,4,up,0,0.5335796,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
8,0,8,0,22.0918084,23.0900073,23.0900073,23.0900073,23.3902057,-4,down,1,1.4563312,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
9,0,9,0,24.574994,25.5737112,25.5737112,25.5737112,25.8737978,0,up,1,0.366998,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
10,0,10,0,25.9582483,26.956886,26.956886,26.956886,27.2567313,2,up,0,0.33605,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
11,0,11,0,27.3258774,28.3234677,28.3234677,28.3234677,28.6234293,0,up,1,0.2945217,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
12,0,12,0,28.6415633,29.6399502,29.6399502,29.6399502,29.9396727,0,up,1,0.5922928,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
13,0,13,0,30.2579199,31.2566798,31.2566798,31.2566798,31.556696,-3,up,0,0.2989517,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
14,0,14,0,31.5745003,32.5729979,32.5729979,32.5729979,32.8733248,0,up,1,0.6345497,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
15,0,15,0,33.2411555,34.2397249,34.2397249,34.2397249,34.5395321,0,up,1,0.473039,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
16,0,16,0,34.7409834,35.7397441,35.7397441,35.7397441,36.0395883,-4,down,1,0.4672288,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
17,0,17,0,36.2243342,37.2228796,37.2228796,37.2228796,37.5232623,-5,down,1,0.4558851,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
18,0,18,0,37.707539,38.7060681,38.7060681,38.7060681,39.0063727,2,down,1,0.3413866,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
19,0,19,0,39.07447,40.0726605,40.0726605,40.0726605,40.373197,0,down,0,0.6944726,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
20,0,20,0,40.7907843,41.7892962,41.7892962,41.7892962,42.0893305,-5,up,0,0.3858175,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
